Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Relationship with Student,Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
75,99,18,11,27,C,22,Male,Married,4,High School,College,Uncle,Yes,3,Poor,Socializing,High,3,No
73,60,11,10,23,D,23,Male,Married,1,Master's Degree,Bachelor's Degree,Uncle,Yes,1,Average,Reading,Moderate,4,No
67,64,20,15,8,D,25,Male,Married,0,College,High School,Mother,No,8,Poor,Socializing,Moderate,1,No
88,87,14,23,44,A,18,Male,Engaged,0,Master's Degree,College,Mother,Yes,0,Average,Socializing,Moderate,6,No
71,65,16,10,22,D,24,Female,Married,4,Doctorate,Doctorate,Sister,Yes,4,Average,Socializing,High,3,No
70,67,11,9,24,D,18,Female,Single,0,College,Doctorate,Uncle,No,4,Average,Sports,Moderate,7,Yes
97,87,23,16,20,C,20,Female,Engaged,0,Master's Degree,Bachelor's Degree,Aunty,Yes,2,Good,Socializing,Moderate,1,No
76,75,20,16,43,A,25,Male,Single,0,High School,High School,Aunty,No,4,Poor,Socializing,Low,2,Yes
78,78,12,12,47,A,19,Female,Single,0,High School,Master's Degree,Aunty,No,0,Poor,Watching TV,High,2,No
85,79,23,9,38,A,23,Male,Engaged,0,Master's Degree,Bachelor's Degree,Brother,No,6,Average,Watching TV,Moderate,4,No
93,97,14,11,28,C,24,Male,Single,0,College,College,Sister,No,2,Good,Watching TV,High,1,No
93,80,21,13,25,C,20,Female,Single,0,Master's Degree,College,Mother,No,9,Poor,Sports,Low,3,No
61,64,25,13,11,D,20,Female,Married,1,Doctorate,High School,Brother,No,8,Good,Socializing,Moderate,2,Yes
93,75,11,22,19,C,24,Female,Single,0,College,College,Aunty,Yes,4,Average,Sports,Low,1,Yes
69,66,22,9,17,D,21,Female,Married,3,High School,Master's Degree,Father,Yes,9,Poor,Socializing,Low,0,No
99,84,25,15,32,A,25,Male,Engaged,0,High School,College,Mother,Yes,2,Average,Sports,Moderate,1,Yes
77,98,15,18,48,A,24,Male,Single,0,Bachelor's Degree,College,Brother,Yes,9,Average,Watching TV,Moderate,5,No
92,91,21,13,39,A,23,Male,Engaged,0,College,Master's Degree,Uncle,No,4,Good,Socializing,Moderate,7,No
82,80,18,15,31,B,20,Male,Engaged,0,College,High School,Brother,Yes,1,Poor,Socializing,Moderate,0,Yes
90,76,24,11,47,A,22,Female,Married,3,College,Bachelor's Degree,Sister,No,2,Good,Socializing,High,7,Yes
84,95,18,20,26,B,23,Female,Engaged,0,Bachelor's Degree,Master's Degree,Brother,No,5,Poor,Watching TV,Low,7,Yes
80,84,17,22,33,A,23,Female,Engaged,0,Master's Degree,Bachelor's Degree,Sister,Yes,2,Good,Socializing,High,3,No
79,94,14,10,35,C,20,Male,Engaged,0,College,High School,Mother,Yes,0,Average,Reading,Low,5,Yes
95,83,21,25,42,A,22,Male,Single,0,Master's Degree,Bachelor's Degree,Uncle,Yes,6,Poor,Socializing,Moderate,4,No
77,96,23,23,50,A,23,Female,Single,0,Master's Degree,Master's Degree,Sister,Yes,7,Poor,Watching TV,Low,7,No
79,85,13,15,28,C,24,Male,Engaged,0,Bachelor's Degree,College,Aunty,No,3,Good,Watching TV,Low,6,Yes
90,97,21,24,49,A,21,Female,Single,0,College,College,Aunty,Yes,4,Average,Watching TV,Moderate,5,No
83,77,24,24,39,A,19,Male,Single,0,College,Bachelor's Degree,Father,No,5,Poor,Socializing,High,7,Yes
87,75,18,12,28,C,22,Female,Married,4,High School,Bachelor's Degree,Sister,No,4,Good,Reading,High,6,No
65,60,18,13,10,D,24,Female,Married,1,College,High School,Uncle,Yes,5,Average,Socializing,Low,4,Yes
90,79,19,18,23,B,18,Female,Married,1,Doctorate,College,Uncle,Yes,3,Poor,Watching TV,Low,2,No
88,79,14,16,21,C,21,Female,Single,0,Bachelor's Degree,College,Father,Yes,8,Average,Sports,High,5,Yes
97,85,20,18,44,A,20,Male,Single,0,College,Master's Degree,Uncle,Yes,3,Average,Watching TV,Low,4,No
75,75,13,18,46,A,22,Male,Single,0,High School,Master's Degree,Sister,Yes,2,Poor,Reading,Moderate,3,No
94,75,18,22,39,A,23,Female,Single,0,Bachelor's Degree,High School,Brother,No,7,Average,Watching TV,Low,1,No
64,61,8,14,14,E,18,Male,Married,0,High School,Doctorate,Aunty,No,5,Average,Socializing,Moderate,1,Yes
88,80,15,25,18,C,25,Male,Married,2,College,Doctorate,Mother,No,0,Poor,Reading,Moderate,1,Yes
76,83,10,12,49,A,18,Female,Engaged,0,High School,Bachelor's Degree,Aunty,No,8,Poor,Reading,Moderate,5,Yes
94,82,18,13,42,A,20,Female,Engaged,0,Bachelor's Degree,Master's Degree,Sister,Yes,6,Good,Watching TV,Moderate,7,Yes
86,86,24,17,35,A,19,Male,Single,0,College,Doctorate,Father,Yes,2,Average,Reading,Moderate,5,Yes
71,70,17,16,12,D,22,Female,Single,0,College,High School,Sister,No,4,Average,Sports,Low,4,No
94,95,11,9,35,C,23,Male,Single,0,College,High School,Sister,No,3,Average,Socializing,Moderate,3,Yes
62,64,16,13,8,E,21,Female,Single,0,Doctorate,Doctorate,Aunty,No,4,Good,Sports,Moderate,3,Yes
98,88,14,20,39,A,25,Female,Married,5,Doctorate,Bachelor's Degree,Uncle,Yes,4,Good,Reading,Low,5,No
69,75,8,20,15,D,23,Male,Married,1,Master's Degree,College,Father,No,9,Average,Socializing,Low,6,No
75,68,10,17,17,D,20,Male,Single,0,High School,High School,Sister,Yes,3,Poor,Reading,High,6,Yes
88,79,25,19,49,A,18,Male,Single,0,College,Master's Degree,Father,No,4,Average,Socializing,Low,0,No
73,67,9,15,12,E,22,Female,Single,0,High School,College,Mother,Yes,8,Good,Socializing,High,3,Yes
66,68,12,11,21,D,18,Female,Single,0,Master's Degree,College,Sister,No,9,Good,Sports,Moderate,0,No
75,86,10,9,45,B,24,Female,Engaged,0,College,Bachelor's Degree,Father,No,9,Average,Socializing,Moderate,3,No
82,87,25,17,14,C,21,Female,Married,0,College,Bachelor's Degree,Sister,No,8,Poor,Sports,Low,6,No
78,89,9,20,43,A,23,Male,Engaged,0,Bachelor's Degree,High School,Brother,Yes,5,Poor,Socializing,Moderate,7,No
69,69,10,15,15,D,21,Female,Married,4,Bachelor's Degree,Bachelor's Degree,Uncle,Yes,1,Poor,Socializing,High,4,Yes
73,72,22,8,9,E,18,Male,Married,3,Bachelor's Degree,College,Aunty,Yes,9,Average,Reading,Low,7,No
97,91,8,15,28,C,18,Female,Married,2,College,Master's Degree,Aunty,Yes,1,Poor,Socializing,Low,5,No
85,97,16,15,38,B,22,Male,Engaged,0,College,Master's Degree,Uncle,Yes,4,Average,Socializing,Moderate,4,Yes
84,75,19,16,27,B,20,Female,Single,0,Master's Degree,College,Uncle,No,6,Average,Socializing,Moderate,3,No
74,63,9,9,29,D,20,Male,Married,2,Master's Degree,Bachelor's Degree,Aunty,Yes,7,Good,Socializing,Moderate,2,No
80,93,21,20,15,C,22,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Sister,Yes,6,Good,Watching TV,High,2,Yes
66,74,23,8,16,D,21,Male,Engaged,0,Bachelor's Degree,College,Mother,No,1,Good,Sports,High,5,No
96,94,24,13,20,C,21,Female,Married,1,Bachelor's Degree,High School,Uncle,Yes,1,Average,Watching TV,High,0,Yes
77,87,9,11,46,B,22,Female,Engaged,0,College,Master's Degree,Sister,Yes,1,Poor,Sports,Moderate,1,No
74,70,18,20,11,D,23,Female,Engaged,0,Master's Degree,Bachelor's Degree,Brother,Yes,3,Average,Reading,Low,6,No
67,69,12,18,9,E,22,Male,Married,3,College,Doctorate,Mother,No,8,Poor,Socializing,Moderate,7,No
63,71,8,21,8,E,25,Male,Married,1,Bachelor's Degree,College,Aunty,Yes,8,Poor,Socializing,Low,7,Yes
95,83,18,15,20,C,24,Male,Married,1,Master's Degree,College,Uncle,No,4,Good,Watching TV,High,6,No
96,79,9,11,44,B,24,Female,Married,3,Bachelor's Degree,Doctorate,Father,Yes,3,Poor,Socializing,Low,1,No
82,85,18,25,43,A,19,Male,Single,0,High School,Bachelor's Degree,Sister,Yes,1,Average,Socializing,Moderate,1,No
91,80,12,25,48,A,20,Female,Engaged,0,College,College,Father,Yes,0,Average,Socializing,Moderate,0,Yes
95,91,15,23,20,C,25,Male,Single,0,High School,Bachelor's Degree,Mother,Yes,0,Average,Watching TV,High,1,Yes
89,75,25,22,28,A,18,Female,Married,0,Bachelor's Degree,Bachelor's Degree,Sister,No,2,Poor,Socializing,Low,5,Yes
95,94,24,11,49,A,23,Female,Engaged,0,College,Master's Degree,Uncle,No,6,Good,Sports,Low,6,Yes
98,79,18,9,43,A,20,Male,Married,2,High School,Bachelor's Degree,Mother,Yes,4,Good,Sports,Moderate,2,Yes
82,97,21,9,20,C,21,Female,Married,4,Doctorate,Master's Degree,Sister,No,9,Poor,Socializing,Low,5,Yes
89,90,21,16,41,A,25,Male,Single,0,College,Doctorate,Brother,Yes,3,Average,Socializing,Moderate,5,No
78,87,11,24,39,A,24,Male,Married,0,Bachelor's Degree,Bachelor's Degree,Uncle,No,4,Average,Reading,High,2,Yes
79,81,23,22,25,A,23,Female,Married,4,High School,Bachelor's Degree,Brother,No,7,Good,Watching TV,Moderate,4,No
93,84,8,25,32,B,22,Male,Single,0,High School,Bachelor's Degree,Brother,Yes,1,Good,Watching TV,Moderate,5,Yes
89,87,16,15,50,A,21,Female,Engaged,0,Master's Degree,Master's Degree,Sister,Yes,2,Average,Sports,High,6,Yes
83,91,14,18,25,C,20,Male,Engaged,0,College,Master's Degree,Aunty,No,2,Good,Sports,Low,5,No
80,81,9,23,43,A,18,Female,Married,0,College,Doctorate,Uncle,No,0,Average,Sports,Low,3,No
65,69,15,18,15,D,18,Female,Single,0,Doctorate,High School,Brother,No,4,Good,Reading,Moderate,6,No
70,65,10,9,14,E,21,Male,Married,5,Master's Degree,Doctorate,Uncle,Yes,9,Poor,Socializing,Low,6,Yes
79,88,25,22,37,A,23,Male,Engaged,0,Bachelor's Degree,Doctorate,Mother,No,4,Good,Watching TV,Moderate,7,Yes
89,97,9,23,22,C,20,Female,Engaged,0,Bachelor's Degree,College,Mother,No,1,Good,Socializing,High,5,No
75,62,11,13,23,D,23,Female,Married,0,Master's Degree,Master's Degree,Aunty,Yes,2,Good,Watching TV,High,5,No
79,99,25,21,32,A,19,Male,Engaged,0,High School,College,Brother,Yes,6,Average,Watching TV,High,6,Yes
65,73,19,19,10,D,21,Female,Single,0,Doctorate,College,Sister,No,9,Poor,Reading,Moderate,2,No
77,95,23,10,36,B,21,Male,Married,4,Doctorate,College,Aunty,Yes,7,Good,Socializing,Moderate,3,No
78,85,21,11,43,A,20,Female,Single,0,College,College,Sister,Yes,3,Average,Reading,Moderate,4,Yes
87,88,17,18,25,B,18,Female,Single,0,High School,Doctorate,Mother,No,2,Poor,Sports,Moderate,2,Yes
99,94,14,13,48,A,20,Male,Married,5,Bachelor's Degree,College,Aunty,No,0,Average,Reading,Moderate,5,No
99,88,10,23,49,A,19,Female,Single,0,Master's Degree,Bachelor's Degree,Aunty,No,3,Good,Watching TV,Low,0,No
75,91,21,17,21,C,25,Male,Single,0,Master's Degree,High School,Father,No,4,Good,Reading,Low,3,No
78,78,22,10,39,A,20,Male,Engaged,0,College,Doctorate,Mother,Yes,9,Good,Watching TV,Low,1,Yes
98,78,10,9,33,C,18,Male,Engaged,0,Master's Degree,Master's Degree,Father,Yes,7,Good,Watching TV,High,3,No
79,89,22,16,34,A,24,Male,Engaged,0,Master's Degree,Bachelor's Degree,Sister,No,1,Average,Watching TV,Low,6,No
95,88,23,15,40,A,20,Female,Single,0,College,Bachelor's Degree,Aunty,Yes,4,Average,Reading,Low,0,No
92,75,12,8,49,B,19,Female,Married,0,Bachelor's Degree,College,Brother,No,2,Poor,Watching TV,Moderate,4,Yes
72,62,15,17,11,D,19,Female,Married,4,Master's Degree,Doctorate,Mother,Yes,5,Average,Reading,High,4,No
74,63,9,8,31,D,23,Male,Engaged,0,Bachelor's Degree,College,Mother,Yes,9,Average,Watching TV,Moderate,4,Yes
83,96,24,24,25,A,24,Female,Single,0,Bachelor's Degree,Doctorate,Sister,Yes,2,Average,Sports,Low,4,Yes
82,98,23,15,14,C,22,Male,Single,0,High School,Master's Degree,Father,No,1,Poor,Reading,Moderate,1,Yes
84,95,11,22,31,B,22,Male,Married,4,Doctorate,Bachelor's Degree,Father,Yes,0,Good,Reading,Moderate,2,No
63,69,21,20,8,D,25,Female,Married,4,Master's Degree,High School,Sister,No,1,Average,Watching TV,Moderate,3,No
77,81,15,20,37,A,21,Female,Married,2,High School,High School,Mother,No,8,Good,Sports,Low,0,Yes
82,93,10,24,21,C,20,Female,Married,0,Bachelor's Degree,High School,Aunty,No,3,Average,Socializing,High,7,Yes
62,67,13,16,8,E,21,Male,Engaged,0,College,Master's Degree,Uncle,No,3,Good,Watching TV,Moderate,7,No
94,99,21,18,17,C,19,Female,Married,5,High School,Doctorate,Sister,No,5,Poor,Socializing,Moderate,1,Yes
89,87,24,20,18,B,24,Female,Single,0,Master's Degree,College,Mother,Yes,5,Good,Socializing,Low,6,Yes
79,78,16,10,31,C,21,Female,Single,0,College,Bachelor's Degree,Uncle,No,7,Poor,Watching TV,High,2,No
99,88,18,16,43,A,25,Female,Single,0,Doctorate,Doctorate,Aunty,Yes,6,Average,Reading,Low,1,Yes
83,94,25,10,21,C,25,Female,Married,0,Master's Degree,Bachelor's Degree,Brother,Yes,6,Average,Reading,Moderate,3,No
80,82,8,9,47,B,22,Male,Single,0,Master's Degree,College,Mother,Yes,6,Good,Sports,Moderate,0,Yes
